testcase_id,testcase_title,testcase_description,test_steps,expected_results,preconditions
42194,"User A Checked-out an assembly Part, User B can't see changes of the assembly Part",Prerequisite a valid part ( #42154 -> use part id as @partnumber ) and a user A and a user B and a valid Teamcenter user (with right privileges) and system Additional Documents: none,"1. User A: Select global search and enter @partnumber
2. User A: Click on the Part in results panel.
3. User A: Expand the structure.
4. User A: Select the desired part in results panel.
5. User A: Click on Edit primary toolbar.
6. User A: Click on Checkout command context menu
7. User A: Click on Edit primary toolbar.
8. User A: Click on Start Edit command context menu
9. User A: Change the attribute Name
10. User A: Click on Edit primary toolbar.
11. User A: Click on Start Edit command context menu
12. User B: Select global search and enter @partnumber
13. User B: Click on the Part in results panel.
14. User B: Expand the structure.
15. User B: Select the desired part in results panel.
16. User A: Click on Edit primary toolbar.
17. User A: Click on Checkout-in command context menu
18. User B: Refresh the workarea","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly structure is displayed
4. The part is selected
5. The option Checkout command context menu
6. Checked out icon appears below the part in the location panel
7. The option Start Edit command context menu
8. The attributes in the workarea
9. The Part has a new name
10. The option Save Edit command context menu
11. The Part is saved and the workarea
12. The part is shown in the result panel
13. The part details are displayed in workarea
14. The assembly structure is displayed
15. The part details are displayed in workarea. The name is still from the head the revision.
16. The option Check-in command context menu
17. The workarea
18. The workarea",
42297,Visibility of change for different User only after Check-in,Given A valid assembly part #42154 Write & change access to the assembly part for modifications A valid TC user (with right privileges) and system When The user wants to view modifications made to the assembly part by a different user Then The system allows the user to view the changes made only after the user modified checks-in the part. Additional Docs: None,"1. User A: Select global search and enter @partnumber
2. User A: Click on the Part in results panel.
3. User A: Expand the structure.
4. User A: Select the desired assembly part in results panel.
5. User A: Click on Edit primary toolbar.
6. User A: Click on Checkout command context menu
7. User A: Click on Edit primary toolbar.
8. User A: Click on Start Edit command context menu
9. User A: Change the desired attribute of the Part
10. User A: Click on Edit primary toolbar.
11. User B: Select global search and enter @partnumber
12. User B: Click on the Part in results panel.
13. User B: Expand the structure.
14. User B: Select the desired assembly part in results panel.
15. User A: Click on Edit primary toolbar.
16. User A: Click on Check-in command context menu
17. User B: Refresh the workarea","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly structure is displayed
4. The assembly part is selected
5. The option Checkout command context menu
6. Checked out icon appears below the part in the location panel
7. The option Start Edit command context menu
8. The attributes in the workarea
9. The Part has the changed attribute value.
10. The option Save Edit command context menu
11. The part is shown in the result panel
12. The part details are displayed in workarea
13. The assembly structure is displayed
14. The assembly part details are displayed in workarea. The attribute value is still from the previous revision.
15. The option Check-in command context menu
16. The workarea
17. The workarea",
42311,Usage BOM-DevBox implementation,,"1. select a folder in the primary work area and click on Add group command in the right wall
2. search for Collaborative EBOM type
3. Click on collaborative EBOM, Panel should open
4. Fill the required properties and create the object
5. Open the collaborative EBOM and go to content tab
6. On click of content tab, Collaborative EBOM should be available as topline
7. Select Add command in the primary toolbar
8. select Child
9. select the child type to be added under collaborative product
10. Add sub assemblies
11. part usages should be created automatically for each part in sub assemblies
12. Create Partition scheme by selecting the available groups(Functional,Physical,spatial,system)
13. After creation of partion scheme, Partition group command is enabled
14. click on Add command in partitions group command
15. Create Partition by giving necessary values
16. should be able to filter out sub assemblies based on partitions","1. Add command should be available
2. collaborative EBOM type should be available
3. Create panel should be available with the properties to fill
4. Add button should be enabled and on click object should get created.
5. Content tab should be visible
6. Topline is visible and primary tool bar should be enabled
7. Add command is enabled
8. Child command is enabled.
9. part is available
10. sub assemblies are created
11. content tab columns in the primary work area should be updated with part usage related details.
12. Panel should open for selection and creation of child and child is created
13. Partition group command should be visible in the primary tool bar
14. Create partition panel should be opened
15. Partition is created
16. Based on partition scheme selection sub assemblies should be filtered out",
42361,Enabler / Release the new part,,"1. Select global search and enter @partnumber
2. Select the Part in results panel.
3. Click on Manage primary toolbar.
4. Click on Submit to Workflow command context menu
5. Click on All Submit to Workflow
6. Select Set Released Maturity
7. Click on Submit","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option to Submit to Workflow
4. Submit to Workflow
5. List of all templates available to select
6. Optionally user can fill the description, Submit
7. Workflow initiated and processed completely to set the status TCM Released",
42362,Show the Life Cycle of a single part,,"1. Select global search and enter @partnumber
2. Select the Part in results panel.
3. Close the Filters dialog & select the List with Summary
4. Select History
5. Change the view to Table
6. Select any older revision from the Table
7. Click on Open primary toolbar
8. Click on Open in New Tab
9. Scroll down to Change History","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The part details are available with all Navigational tabs
4. List of all the revisions are available with release status, date of release, date modified etc.
5. All the revisions are displayed in table and can be sorted by date, owner or date modified
6. List of commands available in Primary toolbar
7. The option Open in New Tab
8. Selected revision opened in new tab with all details and navigational tabs
9. List of all the change in which this part has participated are displayed",
42363,Show the Life Cycle of an assembly part,,"1. Select global search and enter @partnumber
2. Select the part in results panel.
3. Close the Filters dialog & select the List with Summary
4. Select History
5. Change the view to Table
6. Select any older revision from the Table
7. Click on Open primary toolbar
8. Click on Open in New Tab
9. Scroll down to Change History","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly part details are available with all Navigational tabs
4. List of all the revisions are available with release status, date of release, date modified etc.
5. All the revisions are displayed in table and can be sorted by date, owner or date modified
6. List of commands available in Primary toolbar
7. The option Open in New Tab
8. Selected revision opened in new tab with all details and navigational tabs
9. List of all the change in which this part has participated are displayed",
42382,Create a partition scheme,,"1. Open a structure
2. On the primary tool bar click on Add command and select Partition Scheme
3. Depending on the need, select either one of partition schemes
4. After creation of partition scheme set the bom window to that partition scheme
5. In the primary tool bar, group command to create partition is enabled
6. In the partition group command Add command should be available
7. on click of add button, panel opens for creation
8. Repeat the steps from 3-7 to create different partition schemes and different partitions
9. Under partition group command F ind Unassigned
10. On click of F ind Unassigned command structure opens in split window and shows the objects which are not under any partition
11. Un assigned objects can be drag and drop under right partition
12. One can Unassign the part from partition by clicking on Unassign command
13. Delete and move partition commands are available under partition group command
14. On click of delete","1. Structure is available
2. panel to select different partition schemes is visible
3. on selection, panel to create particular partition scheme is open
4. partition scheme is set
5. partition command is available
6. Add command is visible
7. Panel is available with Functional Partition, System Partition for selection.
8. partition schemes and partitions are created
9. Find Unassigned command is visible.
10. split window opens
11. drag and drop is possible
12. On click on unassign command part is not under partition.
13. commands are available
14. If objects are present under partition then Delete command is not enabled",
42383,Perform Where Used Analysis of any TC Object,,"1. Step1: search for the design/part type using part number in Global search
2. Step2: find the corresponding design element in Results Area
3. Step3: select the design and then click on Open;
4. Step4: click on Where Used option in Navigation Tabs
5. Check Used in Structure section for the structure where it is being used
6. Check References section for where it is being referred ex. workflows, change","1. displays required design/part in Results area
3. it opens the design/part in Work Area of AWC
4. Displays different sections in main Work area",
42396,Revise/create a new revision of a single part (Versioning),,"1. Select the single part revision to be revised
2. Check the access on the existing released revision
3. In the primary toolbar select New group command
4. Save As or Revise command should be available
5. click save as or revise command
6. select sub panel Revision
7. Check box Baseline[(optional)
8. Fill the required attributes
9. click on check box open new reivison(optional)
10. click on Save button","1. Single Part revision should ideally have a valid status applied to it (this will be enforced that working revisions cannot be used to create new revisions)
2. User is available in the owning group of part. Write access is available for the user proceeding with revise operation. If no access then object cannot be revised.
3. New group command is available
4. save as or revise command is visible and enabled
5. Tools and info panel is open
6. Revision sub panel should have prefilled revision ID
7. if selected then the old revision will be considered as baseline for upcoming revisions
8. All the required fields are filled and Save button should be enabled.
9. newly created revision is opened.
10. New revision is created",
42398,Revise/create a new revision of an assembly (Versioning),,"1. Select the Assembly part revision to be revised
2. Check the access on the existing released revision
3. In the primary toolbar select New group command
4. Save As or Revise command should be available
5. click save as or revise command
6. select sub panel Revision
7. Check box Baseline[(optional)
8. Fill the required attributes
9. click on check box open new reivison(optional)
10. click on Save button","1. Assembly Part revision should ideally have a valid status applied to it (this will be enforced that working revisions cannot be used to create new revisions)
2. User is available in the owning group of part
3. New group command is available
4. save as or revise command is visible and enabled
5. Tools and info panel is open
6. Revision sub panel should have prefilled revision ID
7. if selected then the old revision will be considered as baseline for upcoming revisions
8. A ll the required fields should be filled and Save button is enabled.
9. newly created revision is opened.
10. New revision is created",
42399,Add a standard part to an assembly part,"Objective: Verify that an Author can successfully add a standard part to an assembly/assembly part and define its quantity and position within the structure. Group & Role: Object types: Assembly or Assembly Part #42154 Standard Part Pre-conditions: The assembly part to which the standard part will be added must be checked out. The user has the necessary permissions to edit the assembly part. The user has the necessary permissions to read the standard part. Both the assembly part and standard part are valid and exist in the system. Expected result: The standard part is successfully added to the assembly/assembly part. If available in the system, information about the Author and the date when the standard part was added can be displayed.","1. Open
2. Select lobal search Assembly part number
3. Select esults panel.
4. Select Add esults panel toolbar.
5. Select Child
6. Choose Platon Part from the list of available item types
7. Select Assembly Indicator
8. Select Standard
9. Enter Name
10. Confirm clicking Add Task panel
11. Provide remaining fields .
12. Spot Part Work area","1. Platon Active Workspace Home page
2. The part is shown in R esults panel
3. The part details are displayed in W orkarea
4. The dropdown appears
5. Add panel orkarea
6. Task panel
7. Multiple options displaying the type of the part appears
8. The Part type is now selected as a Standard with the ID starting from N .
9. All mandatory fields are filled
10. The part is created under the assembly part successfully
11. All fields are filled
12. The created and last modified date is visible.",
42404,Create a new EBOM from existing EBOM,Objective: To create a new EBOM by the duplication of an existing Group & Role: Object types: EBOM Pre-conditions: A valid TC user with the necessary privileges and access rights is logged into the system An existing EBOM is accessible for duplication The user has necessary permissions to create and manage EBOMs Expected result: A duplicate of the original EBOM is created in the specified folder with a different ID Additional Docs: 36846_Create a new product structure (EBOM) (from existing structure EBOM).docx,"1. Open
2. Select G lobal search
3. Select Results panel.
4. Click More Commands (3 dots) Result panel toolbar.
5. Select Duplicate
6. Select
7. Click Duplicate button
8. Navigate Folder","1. Platon Active Workspace Home page
2. The EBOM is shown in the result panel
3. The EBOM details are displayed in workarea
4. A dropdown appears with multiple commands
5. A new page with part details is opened
6. The EBOM is highlighted
7. A pop up confirming duplication appears.
8. A duplicate of the original EBOM is found with a different ID.",
42442,Create a EBOM from existing EBOM with modifications,"Objective: To perform various actions on an EBOM , including saving as a new revision, removing a part, replacing a part, cloning a part, saving the EBOM as a new version, and modifying part attributes. Group & Role: Object types: EBOM Pre-conditions: A valid TC user with the necessary privileges and access rights is logged into the system An existing EBOM is accessible for performing actions. Expected result: The specified actions are successfully performed on the EBOM, and the EBOM is updated accordingly. Parts can be removed, replaced, cloned, and saved with modifications, and new revisions of the EBOM can be created","1. Open
2. Select G lobal search
3. Select Results panel.
4. Select New rimary toolbar.
5. Select Save As or Revise
6. Provide Name Revision click Save Open new revision
7. Select Part
8. Select Remove option from R esult panel toolbar
9. Select
10. Select Replace Result panel toolbar
11. Provide Name Replace
12. Select
13. Select Clone from R esult panel toolbar
14. Select
15. Select Save as option from R esult panel toolbar
16. Modify Name click Duplicate esult panel toolbar","1. Platon Active Workspace Home page
2. The EBOM is shown in the result panel
3. The EBOM details are displayed in workarea
4. Command context menu
5. A small window appears.
6. The new EBOM is created and opens with EDIT access to the user.
7. The Result panel toolbar
8. A strike through appears on the entire part and its attributes
9. The part line gets highlighted
10. A window to fill in details of the replacement part opens up
11. The old attributes are striked out in red and new attributes are displayed in green
12. The part line gets highlighted
13. The ID is striked out and given a new ID representing the attributes to remain same with a new part ID.
14. The part line gets highlighted
15. The ID is striked out and given a new ID with an option to edit the attributes.
16. A Clone of the original EBOM is found with the modifications made.",
42448,Sample Test Case,Prerequisites we require a valid TC user with the role: Engineer valid teamcenter instance Additional Documents Doc,1. Click on the Folder global navigation,1. Work area,
42620,Copy Single assembly part from source eBom and paste it in target eBom,,"1. Search source eBom structure with Part id in Global search
2. Open source eBom from Results area
3. Click on Open Alignment from Navigation tabs
4. click on Alignment check from Navigation tabs
5. check all eBOM elements are aligned with design Bom
6. open the eBom
7. select copy of desired part from source eBom
8. open the target eBom by executing steps from 1 -2
9. select the desired location of eBom and paste it
10. Execute steps Step 3 , 4 , 5
11. Select the target eBom parent part of the copied part, click on open in NX from primary tool bar
12. click on the openinnx.nxtcxml script
13. check whether copied part is available in the NX assembly","1. The requested eBom Structure element displays in Results area
2. The source eBom contents displays in Work area
3. eBom and corrosponding designBom displays in splitted window
4. displays tick mark on each rows and x mark if any eBom and designBom is not aligned
6. it displays eBom in Work area
9. the target eBOM will be updated with copied eBom element
10. the alignment check should be passed tick mark
11. It initiates openinnx.nxtcxml script in windows screen
12. Integrated Nx tool opens up with selected assembly",
42622,Copy eBom structure element from source eBom and paste it to target eBom,,"1. Search source eBom structure with Part id in Global search
2. Open source eBom from Results area
3. Click on Open Alignment from Navigation tabs
4. click on Alignment check from Navigation tabs
5. check all eBOM elements are aligned with design Bom
6. open the eBom
7. select copy of desired sub-assembly/structure from source eBom
8. open the target eBom by executing steps from 1 -2
9. select the desired location of eBom and paste it
10. Execute steps Step 3 , 4 , 5
11. Select the target eBom parent part of the copied part, click on open in NX from primary tool bar
12. click on the openinnx.nxtcxml script
13. check whether copied part is available in the NX assembly","1. The requested eBom Structure element displays in Results area
2. The source eBom contents displays in Work area
3. eBom and corrosponding designBom displays in splitted window
4. displays tick mark on each rows and x mark if any eBom and designBom is not aligned
6. it displays eBom in Work area
9. the target eBOM will be updated with copied eBom element
10. the alignment check should be passed tick mark
11. It initiates openinnx.nxtcxml script in windows screen
12. Integrated Nx tool opens up with selected assembly",
42635,Add a part to an assembly part,Given A valid assembly / assembly part #42154 A valid TC user (with right privileges) and system When Add a part to the assembly/assembly part Then The part is added to the assembly/assembly part with the correct relation created and is visible in the AW user interface,"1. Select global search and find a collaborative product EBOM
2. Select and open the collaborative product EBOM in results panel.
3. Browse to the assembly part in the structure under the content tab to which the new part is to be added
4. Click on Add result panel toolbar.
5. Click on the option Child
6. Choose Part from the list of available item types
7. Enter Name
8. Set the remaining fields with desired attribute values .
9. Confirm Part addition by clicking the Add command on the task panel
10. Spot your Part work area","1. The collaborative product EBOM is shown in the result panel
2. The collaborative product EBOM is displayed in workarea
3. The selected assembly part is highlighted in the workarea
4. A dropdown apperas
5. A small window appears in the workarea
6. Task panel
7. All mandatory fields are filled
8. All fields are filled
9. The part has been created under the assembly part.
10. The creater and last modified date are visible.",
42759,Set the maturity level of an assembly,,"1. select an assembly part and open content tab
2. Necessary access rules are available
3. Look for Maturity and Usage Maturity attributes on assembly and child parts
4. Click on edit command in the primary tool bar
5. Update the value of maturity . Available values are Concept(10), Pilot(20), Prototype(30), pre-production(40), production(50)
6. Click on save edits in the primary tool bar","1. Assembly have child parts
2. current user has access to modify the metadata
3. Maturity and usage maturity attributes are available.
4. attributes are available to change value
5. User can select one of the available values. Maturity on Parent is less than or equal to maturity on child objects. If parent maturity is higher than any of child's maturity, then teamcenter should throw error, but OOTB Teamcenter is not having that check currently . Need to configure explicitly while designing Custom workflows.
6. Changes are updated",
42785,Set the maturity level of a single part,Prerequisites : A valid single part #41737 A valid TC user (with right privileges) and system When The user edits the single part and updates the maturity level of the single part. Then The new maturity level is updated on the single part and visible in the user interface after the part is checked in after modifications.,"1. Select global search and enter @partnumber
2. Select the Part with @partnumber in results panel toolbar.
3. Click on Edit primary toolbar.
4. Click on Start Edit command context menu
5. Choose the desired Maturity value of the part under Part Maturity Available values are Concept, Pilot, Prototype, pre-production, production)
6. Click on Edit primary toolbar.
7. Click on Save Edits","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option to edit is displayed
4. Editable attributes appear in workarea
5. One of the available values are selected
6. The option to save is displayed
7. The updated maturity is visible in part attributes",
42804,Add a single part to the Product EBOM,"Objective: To add a dingle part to an existing EBOM Group & Role: Object types: EBOM Single Part Pre-conditions: A valid TC user with the necessary privileges and access rights is logged into the system An existing EBOM is accessible for modification The user has necessary permissions to create and manage EBOMs Expected result: A partition scheme is added to the EBOM, and a child part is successfully created and added to the EBOM. The creator and last modified date of the part are visible in the work area.","1. Open
2. Search lobal search
3. Select esults panel.
4. Select Add esult panel toolbar.
5. Click Partition Scheme
6. Select the desired partition scheme
7. Provide Name click Add
8. Click
9. Select Add Result panel toolbar.
10. Select Child ???
11. Choose Part
12. Provide the Name
13. Set
14. Confirm Part clicking Add command on the T ask panel
15. Spot Part work area","1. Platon Active Workspace Home page
2. The EBOM is shown in the R esults panel
3. EBOM details are displayed in workarea
4. A dropdown appears
5. A small window appears with a dropdown.
6. Option to fill the details appears.
7. The Partition scheme in the Header
8. EBOM is highlighted.
9. A dropdown appears
10. A small window appears in the workarea
11. Task panel
12. All mandatory fields are filled
13. All fields are filled
14. The part has been added to the EBOM
15. The creater and last modified date are visible.",
42864,Open NX Design part in Integrated NX with eBom part,,"1. Search source eBom Part with Part id in Global search
2. Open source eBom from Results area
3. check ALIGNED DESIGN section in Work area
4. click Open -> Open in NX in primary tool bar
5. click on the openinnx.txnxxml script","1. The requested eBom Structure element displays in Results area
2. The source eBom contents displays in Work area
3. it should have the aligned Aligned design NX part
4. It initiates opeinnx.txnxxml script
5. It initiates integrated NX and opens up with aligned NX part",
